Site,Sensor,Date Of Read,Original Value (m (head)),Validated Value (m (head)),Validation Flag
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 00:00:00,21.90000,21.90000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 00:15:00,22.10000,22.10000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 00:30:00,20.20000,20.20000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 00:45:00,20.00000,20.00000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 01:00:00,19.90000,19.90000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 01:15:00,20.00000,20.00000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 01:30:00,19.90000,19.90000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 01:45:00,19.90000,19.90000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 02:00:00,20.10000,20.10000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 02:15:00,19.90000,19.90000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 02:30:00,20.10000,20.10000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 02:45:00,20.00000,20.00000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 03:00:00,19.80000,19.80000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 03:15:00,20.10000,20.10000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 03:30:00,20.00000,20.00000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 03:45:00,20.00000,20.00000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 04:00:00,20.00000,20.00000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 04:15:00,19.90000,19.90000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 04:30:00,19.90000,19.90000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 04:45:00,20.10000,20.10000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 05:00:00,20.10000,20.10000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 05:15:00,21.90000,21.90000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 05:30:00,21.90000,21.90000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 05:45:00,21.90000,21.90000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 06:00:00,21.90000,21.90000,"O"
"01-001-038-7911-8197","01-001-038-7911-8197 (Pressure)",03/02/2025 06:15:00,21.90000,21.90000,"O"
